title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
To All the Boys: Always and Forever,To All the Boys: Always and Forever,0,en,https://www.netflix.com/title/81040397,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,44.615,115,0,2021-02-12,7.57,1851,"Romance, Comedy, Drama","English, 한국어/조선말",United States of America,https://www.nytimes.com/2021/02/11/movies/to-all-the-boys-always-and-forever-review.html,"This final installment of the Netflix rom-com trilogy is earnest, bright-eyed and without a hint of cynicism.",The New York Times,"subject: Movies;persons: Condor, Lana;persons: Fimognari, Michael;persons: Centineo, Noah;creative_works: To All the Boys: Always and Forever (Movie);",2021-02-12T02:00:03+0000,482,‘To All the Boys: Always and Forever’ Review: Love Sweet Love,,,A Rom-Com Sequel That May Cause Cavities,,,,By Maya Phillips,
69: The Saga of Danny Hernandez,69: The Saga of Danny Hernandez,0,en,https://www.hulu.com/movie/69-the-saga-of-danny-hernandez-345025ec-5022-4cca-a5f7-d3870fce96b3,"Part investigative documentary, part real-life gangster movie, this film unpacks the life of polarizing rap sensation and internet troll Tekashi69, aka 69, while chronicling his meteoric rise and fall from fame.",7.795,101,0,2021-04-29,6.0,12,"Music, Documentary",English,United States of America,https://www.nytimes.com/2020/11/17/movies/69-saga-of-danny-hernadez-review.html,The rise and fall of the provocative rapper Tekashi69 is chronicled in this Hulu documentary.,The New York Times,"subject: Documentary Films and Programs;subject: Rap and Hip-Hop;persons: Gandhi, Vikram;persons: 6ix9ine (Rapper);creative_works: 69: The Saga of Danny Hernandez (Movie);",2020-11-17T19:07:20+0000,363,‘69: The Saga of Danny Hernandez’ Review: A SoundCloud-Rap Rat,,,"Loved in Hip-Hop, but Loathed in the End",,,,By Calum Marsh,
The Lost Weekend: A Love Story,The Lost Weekend: A Love Story,0,en,https://thelostweekendmovie.com/,"May Pang lovingly recounts her life in rock & roll and the whirlwind 18 months spent as friend, lover, and confidante to one of the towering figures of popular culture, John Lennon, in this funny, touching, and vibrant portrait of first love.",9.964,95,77145,2023-04-13,6.0,2,Documentary,English,United States of America,https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,"subject: Documentary Films and Programs;creative_works: The Lost Weekend: A Love Story (Movie);persons: Pang, May;persons: Lennon, John;persons: Ono, Yoko;persons: Brandstein, Eve;persons: Kaufman, Richard S (Filmmaker);persons: Samuels, Stuart (Filmmaker);subject: Content Type: Personal Profile;subject: Pop and Rock Music;",2023-04-13T11:00:03+0000,327,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,,,The Lost Weekend:  A Love Story,,,,By Glenn Kenny,
Art of Love,Romantik Hırsız,0,tr,https://www.netflix.com/title/81689799,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",73.673,99,0,2024-03-13,6.527,112,"Romance, Action, Drama",Türkçe,Turkey,https://www.nytimes.com/2022/07/21/movies/art-of-love-review.html,"A disillusioned college professor develops a relationship with a young Chinese woman, in a familiar and worn-out narrative.",The New York Times,"subject: Movies;creative_works: Art of Love (Movie);persons: Kaplan, Betty (Film Director);",2022-07-21T13:21:43+0000,354,‘Art of Love’ Review: An Erotic Male Fantasy in Puerto Rico,,,Art of Love,,,,By Concepción de León,
Asher,Asher,0,en,,"Asher is a former Mossad agent turned gun for hire, living an austere life in an ever-changing Brooklyn. Approaching the end of his career, he breaks the oath he took as a young man when he meets Sophie on a hit gone wrong. In order to have love in his life before it's too late, he must kill the man he was, for a chance at becoming the man he wants to be.",16.35,117,0,2018-12-07,5.779,138,"Thriller, Action, Drama",English,United States of America,https://www.nytimes.com/2018/12/06/movies/asher-review.html,Ron Perlman and Famke Janssen star in this film that finds a hired killer dealing with his own mortality.,The New York Times,"subject: Movies;creative_works: Asher (Movie);persons: Caton-Jones, Michael;persons: Perlman, Ron;persons: Janssen, Famke;",2018-12-06T12:00:04+0000,259,‘Asher’ Review: An Aging Hit Man Finds Love,,,Asher,,,,By Glenn Kenny,
Wild Mountain Thyme,Wild Mountain Thyme,0,en,,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",24.123,102,0,2020-12-11,5.166,163,"Romance, Drama",English,"Ireland, United Kingdom",https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),The New York Times,"subject: Movies;persons: Shanley, John Patrick;persons: Blunt, Emily;persons: Dornan, Jamie;creative_works: Outside Mullingar (Play);creative_works: Wild Mountain Thyme (Movie);",2020-12-10T12:00:04+0000,341,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,,,Wild Mountain Thyme,,,,By Glenn Kenny,
Diane,Diane,0,en,,"Asked by Francis I to tutor his son, Diane de Poitiers becomes the future King Henry II's mistress in 1500s France.",7.823,110,0,1956-01-12,5.7,8,"Drama, History, Romance",English,United States of America,https://www.nytimes.com/2019/03/28/movies/diane-review.html,"Mary Kay Place is astonishing as a weary widow dealing with guilt, heartache and a diminishing circle of friends.",The New York Times,"subject: Movies;creative_works: Diane (Movie);persons: Jones, Kent;persons: Place, Mary Kay;persons: Parsons, Estelle;persons: Martin, Andrea (1947- );",2019-03-28T11:00:01+0000,511,"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline",Critic’s Pick,,"A Vibrant Tale of Love, Sisterhood and Decline",,,,By Jeannette Catsoulis,
Luz,Luz,0,de,https://yellowveilpictures.com/luz/,"Luz, a young cabdriver, drags herself into the brightly lit entrance of a run-down police station. A demonic entity follows her, determined to finally be close to the woman it loves.",9.521,70,0,2019-03-21,5.1,65,"Horror, Mystery, Thriller","Deutsch, Español, English",Germany,https://www.nytimes.com/2021/03/18/movies/luz-review.html,"In this romantic drama from Jon Garcia, two men find love in prison, then try to make it work on the outside.",The New York Times,"subject: Movies;creative_works: Luz (Movie);persons: Garcia, Jon (1979- );",2021-03-18T11:00:08+0000,296,‘Luz’ Review: Love In and Out of Lockup,,,Luz,,,,By Teo Bugbee,
"Lingui, the Sacred Bonds",Lingui : les liens sacrés,0,fr,,"On the outskirts of the capital of Chad, determined single mother Amina works tirelessly to provide for herself and her 15-year old daughter Maria. When Amina discovers Maria is pregnant and does not want a child, the two women begin to seek out an abortion, condemned by both religion and law. In the process, mother and daughter forge a connection stronger than any they’ve ever known.",7.4,88,0,2021-12-08,6.703,32,Drama,"العربية, Français","Germany, Belgium, Chad, France",https://www.nytimes.com/2022/02/03/movies/lingui-the-sacred-bonds-review.html,"In this electric liberation story from Chad, a mother struggles to protect her daughter’s future and finds both herself and a world of possibility.",The New York Times,"subject: Movies;persons: Haroun, Mahamat-Saleh;creative_works: Lingui, the Sacred Bonds (Movie);",2022-02-03T19:21:56+0000,852,"‘Lingui, the Sacred Bonds’ Review: Love, Ferocious and Limitless",Critic’s Pick,,"Love, Ferocious and Limitless",,,,By Manohla Dargis,
Preparations to Be Together,Felkészülés meghatározatlan ideig tartó együttlétre,1000000,hu,,"Márta, a 40-year-old neurosurgeon, falls in love. She leaves her shining American career behind and returns to Budapest to start a new life with the man she loves. But she waits for him at the Liberty Bridge in vain - he does not appear at their rendezvous. Márta starts to search for him desperately, but when she finally finds him, the love of her life claims that they have never met before.",8.092,95,117368,2020-09-24,6.2,32,Drama,"English, Magyar",Hungary,https://www.nytimes.com/2021/01/21/movies/preparations-to-be-together-for-an-unknown-period-of-time-review.html,A neurosurgeon pursues the man of her dreams in this simmering portrait of obsession by the Hungarian filmmaker Lili Horvat.,The New York Times,"subject: Movies;creative_works: Preparations to Be Together for an Unknown Period of Time (Movie);persons: Horvat, Lili;",2021-01-21T12:00:03+0000,438,‘Preparations to Be Together’ Review: Mysteries of Love,Critic’s Pick,,"Neurosurgeon, Heal Thyself",,,,By Beatrice Loayza,
Atlantis,Atlantis,0,fr,,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it.",10.1,74,138,1991-08-21,6.2,45,"Music, Documentary",Français,"France, Italy",https://www.nytimes.com/2021/01/21/movies/atlantis-review-a-bleak-apocalypse-love-story.html,"Ukraine’s official Oscar entry, the movie depicts an all-too-convincing dystopia, with no fancy gadgets or cars.",The New York Times,"subject: Movies;creative_works: Atlantis (Movie);persons: Vasyanovych, Valentyn;",2021-01-21T12:00:06+0000,320,‘Atlantis’ Review: A Bleak Apocalypse Love Story,Critic’s Pick,,Atlantis,,,,By Glenn Kenny,
Thor: Love and Thunder,Thor: Love and Thunder,250000000,en,https://www.marvel.com/movies/thor-love-and-thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",158.839,119,760900000,2022-07-06,6.464,7238,"Fantasy, Action, Comedy",English,United States of America,https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,"The director Taika Waititi injects antic silliness, once again, into this Marvel franchise starring Chris Hemsworth, who swings a mighty hammer and flexes mightier muscles.",The New York Times,"subject: Movies;organizations: Marvel Studios;persons: Bale, Christian;persons: Crowe, Russell;persons: Hemsworth, Chris;persons: Waititi, Taika;persons: Thompson, Tessa;persons: Portman, Natalie;",2022-07-07T18:26:10+0000,942,‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,,,"He’s Still a Norse God, But Also a Big Old Goof",,,,By Manohla Dargis,
A Tuba to Cuba,A Tuba To Cuba,0,en,https://www.atubatocuba.com/,"A son seeking to fulfill his late father’s dream takes his band from the storied city of New Orleans to the shores of Cuba, where — through the universal language of music — dark and ancient connections between their peoples reveal the roots of jazz.",3.416,82,0,2019-02-15,6.6,8,"Documentary, Music, History",English,"Cuba, United States of America",https://www.nytimes.com/2019/02/14/movies/a-tuba-to-cuba-review.html,This joyous documentary follows the Preservation Hall Jazz Band to Cuba for a celebration of musical history and common bonds.,The New York Times,"subject: Documentary Films and Programs;creative_works: A Tuba to Cuba (Movie);persons: Herrington, TG;persons: Clinch, Danny;subject: Jazz;organizations: Preservation Hall Jazz Band;",2019-02-14T12:00:01+0000,267,‘A Tuba to Cuba’ Review: A New Orleans Jazz Band Makes a Caribbean Connection,Critic’s Pick,,Love Notes Forge a Caribbean Bond,,,,By Jeannette Catsoulis,
The Woman Who Loves Giraffes,The Woman Who Loves Giraffes,0,en,,"Dr. Anne Innis Dagg re-traces the steps of her groundbreaking 1956 journey to South Africa to study giraffes in the wild. Now, at 85 years old, Anne sees a startling contrast between the world of giraffes she once knew and the one it has become. Weaving through the past and present, her harrowing journey gives us an intimate look into the factors that destroyed her career and the forces that brought her back.",3.266,81,0,2018-10-03,6.688,16,Documentary,,"Canada, South Africa, United States of America",https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",The New York Times,"subject: Documentary Films and Programs;subject: Giraffes;creative_works: The Woman Who Loves Giraffes (Movie);persons: Dagg, Anne Innis;persons: Reid, Alison (Filmmaker);",2020-01-09T12:00:04+0000,279,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,,,A Special Spot  In Her Heart,,,,By Jeannette Catsoulis,
In From the Side,In from the Side,0,en,http://www.infromthesidemovie.com,"Mark, a new and inexperienced rugby club member, finds himself drawn to Warren, a seasoned first team player. When a series of happenstances at an away fixture lead to a drunken encounter, Mark and Warren unwittingly embark on a romantic affair they struggle to hide from their partners and teammates.",17.99,134,52885,2022-09-16,6.8,62,"Drama, Romance",English,United Kingdom,https://www.nytimes.com/2023/01/19/movies/in-from-the-side-review.html,"In Matt Carter’s gay rugby film, sports and romance smash together like two players from opposing teams.",The New York Times,"subject: Movies;creative_works: In From the Side (Movie);persons: Carter, Matt (Filmmaker);",2023-01-19T17:50:16+0000,281,‘In From the Side’ Review: Love and Rugby Play a Losing Game,,,In From the Side,,,,By Kyle Turner,
Hot Air,Hot Air,0,en,,A right-wing talk show host's life takes a sudden turn when his 16-year-old niece comes crashing into his life.,7.378,99,0,2018-04-10,5.1,18,Drama,English,United States of America,https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,Steve Coogan stars in this cumbersome political comedy.,The New York Times,"subject: Movies;persons: Coogan, Steve;persons: Coraci, Frank;creative_works: Hot Air (Movie);persons: Campbell, Neve;",2019-08-22T15:50:09+0000,266,‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,,,Hot Air,,,,By Bilge Ebiri,
"Casanova, Last Love",Dernier amour,0,fr,https://lesfilmsdufleuve.be/en/movies/dernier-amour,"Year 1763. Forced into exile, the famous libertine Giacomo Casanova leaves Paris and travels to London, where he meets Marianne de Charpillon, a young prostitute to whom he is so attracted that he forgets about the other women.",14.98,99,0,2019-03-20,4.7,34,"Drama, Romance","English, Français, Deutsch, Italiano","Belgium, France, United States of America",https://www.nytimes.com/2021/07/14/movies/casanova-last-love-review-reappraising-a-philanderer.html,Benoît Jacquot’s erotic costume drama envisions the Italian playboy as a weathered sad sack living in exile.,The New York Times,"subject: Movies;persons: Jacquot, Benoit;creative_works: Casanova, Last Love (Movie);",2021-07-14T22:12:43+0000,312,"‘Casanova, Last Love’ Review: Reappraising a Philanderer",,,"Casanova, Last Love",,,,By Beatrice Loayza,
Dinner in America,Dinner in America,0,en,https://www.dinnerinamerica.com,An on-the-lam punk rocker and a young woman obsessed with his band go on an unexpected and epic journey together through the decaying suburbs of the American Midwest.,11.767,106,0,2022-05-27,7.384,56,"Romance, Comedy, Music",English,United States of America,https://www.nytimes.com/2022/05/26/movies/dinner-in-america-review.html,A rage-fueled rock singer on the run from the police meets and falls in love with a gullible young woman eager to escape her circumstances.,The New York Times,"subject: Movies;persons: Rehmeier, Adam;creative_works: Dinner in America (Book);",2022-05-26T11:00:04+0000,254,‘Dinner in America’ Review: A Punk-Rock Love Story,,,Dinner in America,,,,By Concepción de León,
The Inspection,The Inspection,0,en,https://a24films.com/films/inspection,"Ellis French is a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",20.686,95,270613,2022-11-18,6.2,56,Drama,"العربية, Español, English",United States of America,https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"subject: Movies;creative_works: The Inspection (Movie);persons: Bratton, Elegance;",2022-11-17T12:00:07+0000,836,"‘The Inspection’ Review: Boot Camp, a Love Story",critic’s pick,,"A Few Good Men, Some With Secrets",,,,By A.O. Scott,
